"SUID","KEGG_ID","KEGG_LINK","KEGG_NODE_FILL_COLOR","KEGG_NODE_HEIGHT","KEGG_NODE_LABEL","KEGG_NODE_LABEL_COLOR","KEGG_NODE_LABEL_LIST","KEGG_NODE_LABEL_LIST_FIRST","KEGG_NODE_REACTIONID","KEGG_NODE_SHAPE","KEGG_NODE_TYPE","KEGG_NODE_WIDTH","KEGG_NODE_X","KEGG_NODE_Y","name","selected","shared name"
"283","sce:YLR377C","https://www.kegg.jp/dbget-bin/www_bget?sce:YLR377C","#BFFFBF","17","FBP1, ACN8","#000000","FBP1|ACN8","FBP1","rn:R04780","rectangle","gene","46","408","336","path:sce00010:64","false","path:sce00010:64"
"284","ko:K02777|ko:K02778|ko:K02779|ko:K02790|ko:K02791|ko:K20116|ko:K20117|ko:K20118","https://www.kegg.jp/dbget-bin/www_bget?K02777+K02778+K02779+K02790+K02791+K20116+K20117+K20118","#FFFFFF","17","K02777...","#000000","K02777...","K02777...","rn:R02738","rectangle","ortholog","46","552","196","path:sce00010:65","false","path:sce00010:65"
"285","sce:YBR196C","https://www.kegg.jp/dbget-bin/www_bget?sce:YBR196C","#BFFFBF","17","PGI1, CDC30","#000000","PGI1|CDC30","PGI1","rn:R02740","rectangle","gene","46","483","265","path:sce00010:66","false","path:sce00010:66"
"286","sce:YKL127W|sce:YMR105C|sce:YMR278W","https://www.kegg.jp/dbget-bin/www_bget?sce:YKL127W+sce:YMR105C+sce:YMR278W","#BFFFBF","17","PGM1...","#000000","PGM1...","PGM1...","rn:R00959","rectangle","gene","46","483","178","path:sce00010:67","false","path:sce00010:67"
"287","sce:YBR196C","https://www.kegg.jp/dbget-bin/www_bget?sce:YBR196C","#BFFFBF","17","PGI1, CDC30","#000000","PGI1|CDC30","PGI1","rn:R03321","rectangle","gene","46","385","302","path:sce00010:68","false","path:sce00010:68"
"288","sce:YCL040W|sce:YDR516C|sce:YFR053C|sce:YGL253W|sce:YLR446W","https://www.kegg.jp/dbget-bin/www_bget?sce:YCL040W+sce:YDR516C+sce:YFR053C+sce:YGL253W+sce:YLR446W","#BFFFBF","17","GLK1, HOR3...","#000000","GLK1|HOR3...","GLK1","rn:R01600","rectangle","gene","46","233","291","path:sce00010:69","false","path:sce00010:69"
"289","ko:K12407|ko:K00845","https://www.kegg.jp/dbget-bin/www_bget?K12407+K00845","#FFFFFF","17","K12407...","#000000","K12407...","K12407...","rn:R01600","rectangle","ortholog","46","233","312","path:sce00010:70","false","path:sce00010:70"
"290","sce:YBR196C","https://www.kegg.jp/dbget-bin/www_bget?sce:YBR196C","#BFFFBF","17","PGI1, CDC30","#000000","PGI1|CDC30","PGI1","rn:R02739","rectangle","gene","46","357","264","path:sce00010:71","false","path:sce00010:71"
"291","sce:YMR099C","https://www.kegg.jp/dbget-bin/www_bget?sce:YMR099C","#BFFFBF","17","YMR099C","#000000","YMR099C","YMR099C","rn:R02739","rectangle","gene","46","307","264","path:sce00010:72","false","path:sce00010:72"
"292","sce:YBR019C","https://www.kegg.jp/dbget-bin/www_bget?sce:YBR019C","#BFFFBF","17","GAL10","#000000","GAL10","GAL10","rn:R01602","rectangle","gene","46","181","264","path:sce00010:73","false","path:sce00010:73"
